Cancel,Annullera
"You don't have enough on your credit card to pay for this purchase. To complete your purchase, click ""OK"" and add a credit card to use for the balance. Otherwise, you can cancel the purchase and release the partial payment we are holding.","Du har inte tillräckligt pengar på ditt kreditkort för att betala för detta köp. För att slutföra köpet, klicka på" "OK" "och lägga till ett kreditkort som ska användas . Annars kan du häva köpet och släpp den delbetalning vi håller. "
"Your credit card has been declined. You can click OK to add another credit card to complete your purchase. Or you can cancel this credit transaction and pay a different way.","Ditt kreditkort har avvisats. Du kan klicka på OK för att lägga ett annat kreditkort för att slutföra köpet. Eller så kan du avbryta kredittransaktion och betala ett annat sätt. "
"We canceled your payment and released any money we were holding.","Vi avbröt din betalning och släppt pengar vi höll."
"You can't use any more credit cards for this payment, and you don't have enough to pay for this purchase. Sorry, but we'll have to cancel your transaction.","Du kan inte använda några fler kreditkort för betalning, och du inte har tillräckligt för att betala för detta köp. Tyvärr, men vi måste avbryta transaktionen. "
"Your order has not been placed, because the contents of the shopping cart and/or your address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process to purchase your cart contents.","Din beställning har inte lagts, eftersom innehållet i kundvagnen och / eller din adress har ändrats. Godkända mängderna från din tidigare betalning som lämnades i avvaktan är nu släppt. Vänligen gå igenom kassan för att köpa innehållet i kundvagnen . "
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Är du säker på att du vill avbryta din betalning? Klicka på OK för att avbryta din betalning och släpp beloppet på vänteläge. Klicka på Avbryt för att ange ett annat kreditkort och fortsätta med betalningen."
"Processed Amount","Bearbetas Belopp"
"Remaining Balance","Återstående Belopp"
"Order saving error: %1","Beställning spara fel: %1"
"Please choose a payment method.","Välj en betalningsmetod."
"You created the order.","Du skapade ordern."
"Something went wrong canceling the transactions.","Något gick fel avbryta transaktionerna."
"There was an error canceling transactions. Please contact us or try again later.","Det uppstod ett fel avbryta transaktioner. Vänligen kontakta oss eller försök igen senare."
"We couldn't process your order right now. Please try again later.","Vi kunde inte behandla din beställning just nu. Försök igen senare."
"amount %1","belopp %1"
failed,misslyckades
successful,lyckad
"Credit Card: xxxx-%1","Kreditkort: xxxx-%1"
"Authorize.Net Transaction ID %1","Authorize.Net Transaktion ID %1"
authorize,auktorisera
"authorize and capture","auktorisera och debitera"
capture,debitera
refund,återbetala
void,annullera
"This is an invalid amount for authorization.","Detta är en ogiltig belopp för auktorisera."
"This is an invalid amount for capture.","Detta är en ogiltig belopp för att debitera."
"This is an invalid amount for refund.","Detta är en ogiltig belopp för återbetalning."
"This is an invalid split tenderId ID.","Detta är en ogiltig delad tenderId ID."
"Something went wrong while canceling the payment.","Något gick fel när avbryta betalningen."
"Something went wrong while authorizing the payment.","Något gick fel när auktorisera betalningen."
"Something went wrong while capturing the payment.","Något gick fel när debitera betalningen."
"The shopping cart contents and/or address has been changed.","Kundvagnen innehåll och / eller adress har ändrats."
"This is an invalid amount for partial authorization.","Detta är en ogiltig belopp för del-auktorition"
"Parent Authorize.Net transaction (ID %1) expired","Föralder Authorize.Net transaktion (ID %1) utgått"
"Something went wrong while voiding the payment.","Något gick fel när tömning betalningen."
"Something went wrong while refunding the payment.","Något gick fel när återbetalning betalning."
"You have reached the maximum number of credit cards ' 'allowed to be used for the payment.","Du har nått det högsta antalet kreditkort" "får användas för betalning."
"Something went wrong while authorizing the partial payment.","Något gick fel när auktorisera delbetalningen."
"Something went wrong in the payment gateway.","Något gick fel i betalning gateway."
"Gateway error: %1","Gateway fel: %1"
"Gateway actions are locked because the gateway cannot complete ' 'one or more of the transactions. ' 'Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway åtgärder låst eftersom porten inte kan slutföra '' ett eller flera av transaktionerna. '' Logga in på ditt Authorize.Net konto manuellt lösa problemet."
"Payment updating error.","Betalning uppdatering fel."
"Authorize Only","Godkänna Endast"
"Authorize and Capture","Godkänn och Debitera"
"Invalid amount for capture.","Ogiltig belopp för debitera."
"Payment capturing error.","Betalning debitera fel."
"Invalid transaction ID.","Ogiltigt transaktions-ID."
"Payment voiding error.","Betalning tömnings fel."
"Invalid amount for refund.","Ogiltig belopp för återbetalning."
"Payment refunding error.","Betalning återbetalning fel."
"The transaction was declined because the response hash validation failed.","Transaktionen avvisades eftersom svar hash validering misslyckades."
"This payment didn't work out because we can't find this order.","Denna betalning inte fungerade eftersom vi inte kan hitta denna order."
"There was a payment authorization error.","Det fanns en betalning godkänd fel."
"This payment was not authorized because the transaction ID field is empty.","Denna betalning inte godkändes eftersom transaktionen ID-fältet är tomt."
"Amount of %1 approved by payment gateway. Transaction ID: ""%2"".","Belopp av %1 godkändes genom betalning gateway.. Transaktion ID: ""%2""."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Något gick fel: den betalda beloppet inte stämmer ordersumman Rätta detta och försök igen.".
"Credit Card Type","Kreditkort Typ"
"Credit Card Number","Kreditkortsnummer"
"Expiration Date","Utgångsdatum"
"Card Verification Number","Kortverifieringsnummer"
"Click ""Cancel"" to remove any pending status and release money already processed during this payment.","Klicka på" "Avbryt" "för att avlägsna eventuella väntande status och frigöra pengar redan bearbetats under denna betalning."
"Please enter a different credit card number to complete your purchase.","Ange ett annat kreditkortsnummer för att slutföra köpet."
"Credit Card %1","Kreditkort %1"
"Credit Card Information","Kreditkort Information"
"--Please Select--","--Vänligen Välj--"
"Card Verification Number Visual Reference","Kort Verifikationnummer Visuell Referens"
"What is this?","Vad är detta?"
"You'll be asked for your payment details before placing an order.","Du kommer att bli tillfrågad om dina betalningsuppgifter innan du beställer."
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","För att avbryta väntande auktorisation och släpp belopp som redan har behandlats under denna betalning, klicka på Avbryt."
Processing...,Bearbetning...
Enabled,Aktiverad
"Sort Order","Sortera efter"
Title,Titel
"3D Secure Card Validation","3D Secure kortvalidering"
"New Order Status","Ändrat status för beställning"
"No confirmation","Inga Konfirmation"
Authorize.net,Authorize.net
"Credit Card Types","Bankkortstyper"
"Credit Card Verification","Bankkots Verifikation"
"Email Customer","E-Post Kund"
"API Login ID","API Login ID"
"Merchant's Email","Handlare's E-Post"
"Test Mode","Test Mode"
Debug,Felsökning
"Transaction Key","Transaktion Key"
"Payment Action","Betalning Åtgärd"
"Accepted Currency","Accepterad Valuta"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från vissa länder"
"Minimum Order Total","Minimum Total"
"Maximum Order Total","Maximum Total"
"Allow Partial Authorization","Tillåt Del-Auktorisation"
"3D Secure","3D Secure"
"Severe 3D Secure Card Validation","Severe 3D Secure kortvalidering"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validering bort Chargeback Liability på Merchant"
"If you leave this empty, we'll use a default value. The custom URL may be provided by CardinalCommerce agreement.","Om du lämnar tom, använder vi ett standardvärde . Den anpassade webbadressen kan tillhandahållas av CardinalCommerce avtal."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Merchant MD5","Merchant MD5"
"Gateway URL","Gateway URL"
